"period","utilization","capacity","durable","nondurable"
1978-12-01,"86.6548","61.8566","34.1809","76.8244"
1979-01-01,"85.8693","62.0153","33.9405","76.0260"
1979-02-01,"86.1126","62.1713","34.1971","75.8468"
1979-03-01,"86.1882","62.3251","34.3100","76.3816"
1979-04-01,"85.0468","62.4755","33.4646","76.2583"
1979-05-01,"85.5039","62.6236","34.1537","76.2851"
1979-06-01,"85.2833","62.7697","34.2856","76.0329"
1979-07-01,"84.9715","62.9118","34.1797","76.5739"
1979-08-01,"84.2124","63.0499","33.5493","76.0831"
1979-09-01,"84.1220","63.1849","33.9582","75.2237"
1979-10-01,"84.3898","63.3174","33.9431","75.9249"
1979-11-01,"84.1525","63.4477","33.8039","75.8030"
1979-12-01,"84.0558","63.5758","33.9185","76.0506"
1980-01-01,"84.2753","63.7022","34.0642","76.4070"
1980-02-01,"84.1271","63.8291","34.0829","76.0879"
1980-03-01,"83.6955","63.9561","33.8553","75.4322"
1980-04-01,"81.8395","64.0835","32.9510","74.4294"
1980-05-01,"79.6927","64.2130","31.7057","72.8425"
1980-06-01,"78.5530","64.3458","31.1394","71.9427"
