"period","nonrevolving","revolving","student"
1999-05-01,"879768.92","588377.69",NA
1999-06-01,"884704.58","594610.74",NA
1999-07-01,"891382.22","600995.38",NA
1999-08-01,"899697.68","603528.93",NA
1999-09-01,"904172.70","606886.56",NA
1999-10-01,"909140.29","608141.54",NA
1999-11-01,"915232.59","610101.83",NA
1999-12-01,"920409.49","610696.47",NA
2000-01-01,"923673.63","614846.55",NA
2000-02-01,"931852.73","617332.56",NA
2000-03-01,"938939.72","622510.97",NA
2000-04-01,"944791.80","625735.94",NA
2000-05-01,"951650.78","631857.15",NA
2000-06-01,"970389.49","639158.55",NA
2000-07-01,"982824.43","646927.01",NA
