"period","assets"
2008-01-23,"878400"
2008-01-30,"900810"
2008-02-06,"871610"
2008-02-13,"883544"
2008-02-20,"880047"
2008-02-27,"894294"
2008-03-05,"881822"
2008-03-12,"897089"
2008-03-19,"889065"
2008-03-26,"894437"
2008-04-02,"884297"
2008-04-09,"893609"
2008-04-16,"882426"
2008-04-23,"886483"
2008-04-30,"888721"
2008-05-07,"889757"
2008-05-14,"880605"
2008-05-21,"898913"
2008-05-28,"904977"
2008-06-04,"896444"
2008-06-11,"891195"
2008-06-18,"902927"
2008-06-25,"893196"
2008-07-02,"903620"
2008-07-09,"898653"
2008-07-16,"911291"
2008-07-23,"900292"
2008-07-30,"919115"
2008-08-06,"902873"
2008-08-13,"915164"
2008-08-20,"899120"
2008-08-27,"910543"
2008-09-03,"905996"
2008-09-10,"926372"
2008-09-17,"995589"
2008-09-24,"1212299"
2008-10-01,"1504499"
2008-10-08,"1592049"
2008-10-15,"1771632"
2008-10-22,"1803036"
2008-10-29,"1969444"
2008-11-05,"2074643"
2008-11-12,"2213329"
2008-11-19,"2187596"
2008-11-26,"2106615"
2008-12-03,"2137435"
2008-12-10,"2250457"
2008-12-17,"2255370"
2008-12-24,"2232826"
2008-12-31,"2239854"
2009-01-07,"2121949"
2009-01-14,"2050122"
2009-01-21,"2037755"
2009-01-28,"1927437"
2009-02-04,"1851813"
2009-02-11,"1843739"
2009-02-18,"1916216"
2009-02-25,"1916461"
2009-03-04,"1901834"
2009-03-11,"1899968"
2009-03-18,"2067273"
2009-03-25,"2071847"
2009-04-01,"2079411"
2009-04-08,"2088983"
2009-04-15,"2187028"
2009-04-22,"2197155"
2009-04-29,"2067131"
2009-05-06,"2080452"
2009-05-13,"2196882"
2009-05-20,"2181986"
2009-05-27,"2080642"
2009-06-03,"2078237"
2009-06-10,"2052633"
2009-06-17,"2072938"
2009-06-24,"2025828"
2009-07-01,"2006220"
2009-07-08,"1993054"
2009-07-15,"2072846"
2009-07-22,"2039391"
2009-07-29,"2000966"
2009-08-05,"1989654"
2009-08-12,"2015200"
2009-08-19,"2061283"
2009-08-26,"2075243"
2009-09-02,"2084026"
2009-09-09,"2088516"
2009-09-16,"2140254"
2009-09-23,"2158900"
2009-09-30,"2141302"
2009-10-07,"2138587"
2009-10-14,"2193576"
2009-10-21,"2201452"
2009-10-28,"2161834"
2009-11-04,"2165358"
2009-11-11,"2135394"
2009-11-18,"2209000"
2009-11-25,"2206591"
2009-12-02,"2204380"
2009-12-09,"2186762"
2009-12-16,"2236035"
2009-12-23,"2236055"
2009-12-30,"2234309"
2010-01-06,"2235669"
2010-01-13,"2292090"
2010-01-20,"2252213"
2010-01-27,"2247065"
2010-02-03,"2249553"
2010-02-10,"2256849"
2010-02-17,"2277936"
2010-02-24,"2286282"
2010-03-03,"2280227"
2010-03-10,"2282548"
2010-03-17,"2308068"
2010-03-24,"2313198"
2010-03-31,"2307201"
2010-04-07,"2307637"
2010-04-14,"2339408"
2010-04-21,"2337612"
2010-04-28,"2330517"
2010-05-05,"2326221"
2010-05-12,"2336143"
2010-05-19,"2350934"
2010-05-26,"2334081"
2010-06-02,"2336305"
2010-06-09,"2331566"
2010-06-16,"2344348"
2010-06-23,"2344521"
2010-06-30,"2330901"
2010-07-07,"2332114"
2010-07-14,"2340767"
2010-07-21,"2332369"
2010-07-28,"2325362"
2010-08-04,"2326563"
2010-08-11,"2327604"
2010-08-18,"2313764"
2010-08-25,"2301100"
2010-09-01,"2302106"
2010-09-08,"2305916"
2010-09-15,"2296172"
2010-09-22,"2307266"
2010-09-29,"2298781"
2010-10-06,"2308176"
2010-10-13,"2310002"
2010-10-20,"2305322"
2010-10-27,"2295477"
2010-11-03,"2300443"
2010-11-10,"2312859"
2010-11-17,"2314851"
2010-11-24,"2346097"
2010-12-01,"2347007"
2010-12-08,"2382387"
2010-12-15,"2385843"
2010-12-22,"2428053"
2010-12-29,"2420674"
2011-01-05,"2436162"
2011-01-12,"2468230"
2011-01-19,"2425374"
2011-01-26,"2443637"
2011-02-02,"2469513"
2011-02-09,"2500567"
2011-02-16,"2508967"
2011-02-23,"2533359"
2011-03-02,"2545231"
2011-03-09,"2577172"
2011-03-16,"2583145"
2011-03-23,"2601444"
2011-03-30,"2622616"
2011-04-06,"2648776"
2011-04-13,"2665508"
2011-04-20,"2685882"
2011-04-27,"2691133"
2011-05-04,"2718848"
2011-05-11,"2744597"
2011-05-18,"2758079"
2011-05-25,"2775137"
2011-06-01,"2788955"
2011-06-08,"2811363"
2011-06-15,"2827703"
2011-06-22,"2856563"
2011-06-29,"2865408"
2011-07-06,"2870296"
2011-07-13,"2878212"
2011-07-20,"2871435"
2011-07-27,"2863806"
2011-08-03,"2867363"
2011-08-10,"2872543"
2011-08-17,"2858024"
2011-08-24,"2859542"
2011-08-31,"2854000"
2011-09-07,"2858789"
2011-09-14,"2863651"
2011-09-21,"2857909"
2011-09-28,"2851028"
2011-10-05,"2859823"
2011-10-12,"2860959"
2011-10-19,"2852516"
2011-10-26,"2845777"
2011-11-02,"2822149"
2011-11-09,"2839886"
2011-11-16,"2831681"
2011-11-23,"2822063"
2011-11-30,"2814313"
2011-12-07,"2820774"
2011-12-14,"2902568"
2011-12-21,"2916188"
2011-12-28,"2926195"
2012-01-04,"2917845"
2012-01-11,"2899235"
2012-01-18,"2919617"
2012-01-25,"2919667"
2012-02-01,"2925040"
2012-02-08,"2928366"
2012-02-15,"2937996"
2012-02-22,"2932953"
2012-02-29,"2925788"
2012-03-07,"2884816"
2012-03-14,"2893871"
2012-03-21,"2892716"
2012-03-28,"2878200"
2012-04-04,"2865568"
2012-04-11,"2867267"
2012-04-18,"2875608"
2012-04-25,"2866675"
2012-05-02,"2864377"
2012-05-09,"2864231"
2012-05-16,"2851081"
2012-05-23,"2859578"
2012-05-30,"2842777"
2012-06-06,"2852083"
2012-06-13,"2869132"
2012-06-20,"2870921"
2012-06-27,"2863605"
2012-07-04,"2865961"
2012-07-11,"2866332"
2012-07-18,"2855871"
2012-07-25,"2846805"
2012-08-01,"2851183"
2012-08-08,"2856237"
2012-08-15,"2833374"
2012-08-22,"2825724"
2012-08-29,"2813001"
2012-09-05,"2822283"
2012-09-12,"2823505"
2012-09-19,"2821637"
2012-09-26,"2804567"
